PWY0-1317;L-lactaldehyde degradation (aerobic);lldD aldA;EG11963 EG10035
PWY-5838;superpathway of menaquinol-8 biosynthesis I;menA ubiE menI menB menH menD menF entC menC menE ispB;EG11880 EG11473 G6912 EG11368 EG12438 EG10579 EG12362 EG10261 EG11532 EG12437 EG10017
PWY-7194;pyrimidine nucleobases salvage II;upp codA;EG11332 EG11326
MENAQUINONESYN-PWY;menaquinol-8 biosynthesis;ubiE;EG11473
PWY0-1533;methylphosphonate degradation I;phnP phnJ phnM phnI phnG phnH phnL;EG10725 EG10719 EG10722 EG10718 EG10716 EG10717 EG10721
PWY-6556;pyrimidine ribonucleosides salvage II;rihB rihA rihC cdd;EG12030 G6358 EG11082 EG10137
PWY0-181;salvage pathways of pyrimidine deoxyribonucleotides;tdk ppnP deoA cdd;EG10994 EG12159 EG10219 EG10137
NONMEVIPP-PWY;methylerythritol phosphate pathway I;fldA fldB fdx ispG idi ispF ispE ispD ispH dxr dxs;EG10318 EG12697 EG11328 EG10370 G7508 EG11816 EG11294 G7423 EG11081 EG12715 G6237
PWY-7205;CMP phosphorylation;adk ndk cmk;EG10032 EG10650 EG11265
BSUBPOLYAMSYN-PWY;spermidine biosynthesis I;speD speE;EG10962 EG10963
PWY-7195;pyrimidine ribonucleosides salvage III;codA rihC rihB rihA;EG11326 EG11082 EG12030 G6358
PWY0-1535;D-serine degradation;dsdA;EG10249
RHAMCAT-PWY;L-rhamnose degradation I;rhaM rhaA rhaB rhaD;EG11865 EG11867 EG11868 EG11866
PWY-7183;pyrimidine nucleobases salvage I;upp;EG11332
GLUTORN-PWY;L-ornithine biosynthesis I;argE gabT argD argC argB argA;EG11286 EG10361 EG10066 EG10065 EG10064 EG10063
PWY-7222;guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II;nrdH trxA trxC adk ndk nrdF nrdE nrdD nrdB nrdA;G7401 EG11031 EG11887 EG10032 EG10650 EG12381 EG20257 EG11417 EG10661 EG10660
PWY-7187;pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II;nrdD adk ndk tmk thyA nudI dut mazG dcd;EG11417 EG10032 EG10650 EG12302 EG11002 G7164 EG10251 EG10572 EG11418
GLYCOLATEMET-PWY;glycolate and glyoxylate degradation I;glxK garK glxR glcF glcE glcD gcl;G6283 EG11175 G6278 G0-8601 G7544 G7545 EG11583
GLYOXDEG-PWY;glycolate and glyoxylate degradation II;glcF glcE glcD glcB;G0-8601 G7544 G7545 EG20080
PWY-5852;demethylmenaquinol-8 biosynthesis I;menA;EG11880
PWY-7176;UTP and CTP <i>de novo</i> biosynthesis;pyrG adk ndk pyrH;EG10810 EG10032 EG10650 EG11539
LCYSDEG-PWY;L-cysteine degradation II;cyuA tnaA cysM cysK malY metC;G7622 EG11005 EG10193 EG10192 EG10564 EG10583
PWY0-541;cyclopropane fatty acid (CFA) biosynthesis;cfa;EG11531
CYSTSYN-PWY;L-cysteine biosynthesis I;cysM cysK cysE;EG10193 EG10192 EG10187
PWY-7346;UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose);ugd;G7091
PWY-7870;L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine);grxB grxC nrdH grxA cysE cysM;EG12688 EG12294 G7401 EG10417 EG10187 EG10193
PWY0-1576;hydrogen to fumarate electron transfer;frdD frdC frdB frdA hybC hybO hybB hybA;EG10333 EG10332 EG10331 EG10330 EG11801 G7554 EG11800 EG11799
PWY-7344;UDP-&alpha;-D-galactose biosynthesis;galE;EG10362
PWY0-1355;formate to trimethylamine <i>N</i>-oxide electron transfer;torA torC fdoI fdoH fdoG fdnI fdnH fdnG;EG11814 EG11815 EG11856 EG11857 EG11858 EG11229 EG11228 EG11227
PWY0-1347;NADH to trimethylamine <i>N</i>-oxide electron transfer;torA torC nuoB nuoC nuoE nuoF nuoG nuoI nuoN nuoM nuoL nuoK nuoJ nuoH nuoA;EG11814 EG11815 EG12083 EG12084 EG12086 EG11774 EG12087 EG12089 EG12093 EG11773 EG12092 EG12091 EG12090 EG12088 EG12082
PWY-7343;UDP-&alpha;-D-glucose biosynthesis I;pgm galU;EG12144 EG11319
PWY0-1582;glycerol-3-phosphate to fumarate electron transfer;frdD frdC frdB frdA glpC glpB glpA;EG10333 EG10332 EG10331 EG10330 EG10393 EG10392 EG10391
PWY0-1577;hydrogen to dimethyl sulfoxide electron transfer;hyaA hyaB hyaC hybC hybO hybB hybA dmsC dmsB dmsA;EG10468 EG10469 EG10470 EG11801 G7554 EG11800 EG11799 EG10234 EG10233 EG10232
PWY-7335;UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis;wecB wecC;EG11451 EG11452
PWY0-1356;formate to dimethyl sulfoxide electron transfer;dmsC dmsB dmsA fdoI fdoH fdoG fdnI fdnH fdnG;EG10234 EG10233 EG10232 EG11856 EG11857 EG11858 EG11229 EG11228 EG11227
PWY0-1348;NADH to dimethyl sulfoxide electron transfer;dmsC dmsB dmsA nuoB nuoC nuoE nuoF nuoG nuoI nuoN nuoM nuoL nuoK nuoJ nuoH nuoA;EG10234 EG10233 EG10232 EG12083 EG12084 EG12086 EG11774 EG12087 EG12089 EG12093 EG11773 EG12092 EG12091 EG12090 EG12088 EG12082
PWY0-1321;nitrate reduction III (dissimilatory);narV narZ narY narI narH narG fdoI fdoH fdoG fdnI fdnH fdnG;EG10644 EG10648 EG10647 EG10640 EG10639 EG10638 EG11856 EG11857 EG11858 EG11229 EG11228 EG11227
PROUT-PWY-I;proline degradation;putA;EG10801
PWY0-1584;nitrate reduction X (dissimilatory, periplasmic);napH napG napA napB glpD;EG12062 EG12064 EG12067 EG12061 EG10394
PWY0-1578;hydrogen to trimethylamine N-oxide electron transfer;torA torC hyaA hyaB hyaC hybC hybO hybB hybA;EG11814 EG11815 EG10468 EG10469 EG10470 EG11801 G7554 EG11800 EG11799
PWY0-1573;nitrate reduction VIIIb (dissimilatory);narI narH narG ndh;EG10640 EG10639 EG10638 EG10649
PWY0-1352;nitrate reduction VIII (dissimilatory);narV narZ narY narI narH narG nuoB nuoC nuoE nuoF nuoG nuoI nuoN nuoM nuoL nuoK nuoJ nuoH nuoA;EG10644 EG10648 EG10647 EG10640 EG10639 EG10638 EG12083 EG12084 EG12086 EG11774 EG12087 EG12089 EG12093 EG11773 EG12092 EG12091 EG12090 EG12088 EG12082
PWY0-1336;NADH to fumarate electron transfer;frdD frdC frdB frdA nuoB nuoC nuoE nuoF nuoG nuoI nuoN nuoM nuoL nuoK nuoJ nuoH nuoA;EG10333 EG10332 EG10331 EG10330 EG12083 EG12084 EG12086 EG11774 EG12087 EG12089 EG12093 EG11773 EG12092 EG12091 EG12090 EG12088 EG12082
PWY0-1585;formate to nitrite electron transfer;nrfA nrfC nrfD napC fdoI fdoH fdoG fdnI fdnH fdnG;EG11781 EG11946 EG11947 EG12060 EG11856 EG11857 EG11858 EG11229 EG11228 EG11227
PWY0-1581;nitrate reduction IX (dissimilatory);narV narZ narY narI narH narG glpC glpB glpA;EG10644 EG10648 EG10647 EG10640 EG10639 EG10638 EG10393 EG10392 EG10391
PWY0-1527;curcumin degradation;curA;G6760
PWY0-1569;autoinducer AI-2 degradation;lsrG lsrK lsrF;G6805 G6798 G6804
PWY-5084;2-oxoglutarate decarboxylation to succinyl-CoA;lpd sucB sucA;EG10543 EG10980 EG10979
DETOX1-PWY;superoxide radicals degradation;adeD katG katE sodC sodB sodA;EG11692 EG10511 EG10509 G6886 EG10954 EG10953
PWY0-845;superpathway of pyridoxal 5'-phosphate biosynthesis and salvage;pdxA serC pdxB pdxJ dxs epd pdxH pdxY pdxK;EG10691 EG10946 G0-9461 EG10693 G6237 EG10368 EG11487 G6879 G7259
PWY-6897;thiamine salvage II;thiD pdxK thiL thiE thiM;G7135 G7259 G6234 EG11586 M007
PWY0-823;L-arginine degradation III (arginine decarboxylase/agmatinase pathway);speB adiA speA;EG10960 EG11501 EG10959
THREOCAT-PWY;superpathway of L-threonine metabolism;tdcB ilvA ilvM ilvG ilvN ilvB ilvH ilvI ilvC ilvE ilvD ackA tdcD pta pflB tdcE kbl yiaY tdh tynA mhpF adhE eutE ltaE;EG10990 EG10493 EG10501 G8221 EG10502 EG10494 EG10499 EG10500 EG10495 EG10497 EG10496 EG10027 EG11172 EG20173 EG10701 G7627 EG10512 EG12293 EG10993 EG13139 M014 EG10031 G7285 G6455
ARGDEG-PWY;superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation;patA puuC patD gabD puuE gabT sad speB adiA puuA puuB puuD;G7596 EG10036 G6755 EG11329 G6646 EG10361 G6811 EG10960 EG11501 G6644 EG11822 G6645
AST-PWY;L-arginine degradation II (AST pathway);astE astD astC astB astA;G6940 G6942 G6944 G6941 G6943
MET-SAM-PWY;superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis;metK metL thrA asd lysC malY metC metB metH metE metA;EG10589 EG10590 EG10998 EG10088 EG10550 EG10564 EG10583 EG10582 EG10587 EG10584 EG10581
ORNARGDEG-PWY;superpathway of L-arginine and L-ornithine degradation;puuA puuB puuC puuD patA patD speF speC gabD puuE gabT sad speB adiA;G6644 EG11822 EG10036 G6645 G7596 G6755 EG10964 EG10961 EG11329 G6646 EG10361 G6811 EG10960 EG11501
PWY0-1465;D-malate degradation;dmlA;G6986
PWY-7211;superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis;trxA trxC pyrG adk ndk pyrH pyrD pyrF pyrE pyrC pyrI pyrB carA carB nrdB nrdA nrdF nrdE tmk thyA nudI dut mazG;EG11031 EG11887 EG10810 EG10032 EG10650 EG11539 EG10807 EG10809 EG10808 EG10806 EG10811 EG10805 EG10134 EG10135 EG10661 EG10660 EG12381 EG20257 EG12302 EG11002 G7164 EG10251 EG10572
PWY-5162;2-hydroxypenta-2,4-dienoate degradation;mhpF eutE mhpE mhpD;M014 G7285 G6205 M013
PWY-6038;citrate degradation;citE citF citD;G6342 G6341 G6343
PYRUVDEHYD-PWY;pyruvate decarboxylation to acetyl CoA;aceE lpd aceF;EG10024 EG10543 EG10025
PRPP-PWY;superpathway of histidine, purine, and pyrimidine biosynthesis;nrdH trxA trxC prs pyrG adk ndk pyrH pyrD pyrF pyrE pyrC pyrI pyrB carA carB nrdD nrdF nrdE nrdB nrdA purB purA gmk guaA guaB purK purE purH purC purT purM purL purD purF hisG hisI hisA hisF hisH hisB hisC hisD;G7401 EG11031 EG11887 EG10774 EG10810 EG10032 EG10650 EG11539 EG10807 EG10809 EG10808 EG10806 EG10811 EG10805 EG10134 EG10135 EG11417 EG12381 EG20257 EG10661 EG10660 EG11314 EG10790 EG10965 EG10420 EG10421 EG10796 EG10793 EG10795 EG10791 EG11809 EG10798 EG10797 EG10792 EG10794 EG10449 EG10451 EG10444 EG10448 EG10450 EG10445 EG10446 EG10447
PWY-1269;CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis;gutQ kdsD kdsA kdsC kdsB;EG10973 G7662 EG10518 G7663 EG10519
PWY-6703;preQ<sub>0</sub> biosynthesis;queC queE queD folE;G6245 G7443 G7431 EG11375
ACETATEUTIL-PWY;superpathway of acetate utilization and formation;eutD pta purT ackA acs;G7288 EG20173 EG11809 EG10027 EG11448
GLUCARGALACTSUPER-PWY;superpathway of D-glucarate and D-galactarate degradation;glxK garK garD garR garL gudD;G6283 EG11175 EG12522 EG11176 EG10016 G7445
PWY0-1313;acetate conversion to acetyl-CoA;acs;EG11448
GLUCONSUPER-PWY;D-gluconate degradation;gntK idnK;EG12629 EG12152
PWY0-162;superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis;pyrG adk ndk pyrH pyrD pyrF pyrE pyrC pyrI pyrB carA carB;EG10810 EG10032 EG10650 EG11539 EG10807 EG10809 EG10808 EG10806 EG10811 EG10805 EG10134 EG10135
PWY-6164;3-dehydroquinate biosynthesis I;aroF aroH aroG aroB;EG10078 EG10080 EG10079 EG10074
FUC-RHAMCAT-PWY;superpathway of fucose and rhamnose degradation;fucO lldD aldA rhaM rhaA rhaB rhaD fucU fucI fucK fucA;EG10351 EG11963 EG10035 EG11865 EG11867 EG11868 EG11866 EG10355 EG10349 EG10350 EG10348
ALL-CHORISMATE-PWY;superpathway of chorismate metabolism;entF entB pabC pabA pabB folE nudB folB folK folM folA folC folP ubiE menA menI menB menH menD menF entC menC menE entE entD acpS acpT entA tyrA pheA aspC tyrB ilvE trpB trpA trpD trpE trpC aroD aroE ydiB aroK aroL aroA aroC aroF aroH aroG aroB idi ispA ispB ubiA ubiD ubiI ubiG ubiH ubiF ubiC;EG10264 EG10260 EG11493 EG10682 EG10683 EG11375 EG11138 EG11673 EG11374 G6862 EG10326 EG10327 EG50011 EG11473 EG11880 G6912 EG11368 EG12438 EG10579 EG12362 EG10261 EG11532 EG12437 EG10263 EG10262 EG10247 EG12221 EG10259 EG11039 EG10707 EG10096 EG11040 EG10497 EG11025 EG11024 EG11027 EG11028 EG11026 EG10076 EG10077 EG11234 EG10081 EG10082 EG10073 EG10075 EG10078 EG10080 EG10079 EG10074 G7508 EG10508 EG10017 EG11370 EG11396 EG11333 EG11143 EG11324 G6365 EG11369
HOMOSER-THRESYN-PWY;L-threonine biosynthesis;thrC thrB;EG11000 EG10999
THRESYN-PWY;superpathway of L-threonine biosynthesis;aspC thrC thrB metL thrA asd lysC;EG10096 EG11000 EG10999 EG10590 EG10998 EG10088 EG10550
PWY0-1471;uracil degradation III;rutC rutB ydfG rutE rutD rutA;G6521 G6522 EG12345 G6519 G6520 G6523
TCA-GLYOX-BYPASS;superpathway of glyoxylate bypass and TCA;mqo sdhA sdhB sdhC sdhD acnB acnA prpC gltA icd lpd sucB sucA sucC sucD fumE fumD fumA fumB fumC mdh maeA aceA glcB aceB;EG12069 EG10931 EG10932 EG10933 EG10934 EG12316 EG11325 G6198 EG10402 EG10489 EG10543 EG10980 EG10979 EG10981 EG10982 EG11162 G6903 EG10356 EG10357 EG10358 EG10576 EG10948 EG10022 EG20080 EG10023
PWY0-781;aspartate superpathway;metK nadB nadA nadC nadE nadD malY metC metB metH metE metA dapB lysC metL thrA asd dapA dapD serC argD dapE lysA dapF aspC thrC thrB;EG10589 EG10631 EG10630 EG11546 EG10663 G6350 EG10564 EG10583 EG10582 EG10587 EG10584 EG10581 EG10206 EG10550 EG10590 EG10998 EG10088 EG10205 EG10207 EG10946 EG10066 EG10208 EG10549 EG10209 EG10096 EG11000 EG10999
XYLCAT-PWY;D-xylose degradation I;xylA xylB;EG11074 EG11075
PWY0-166;superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>);nrdH trxA trxC nrdB nrdA nrdF nrdE adk ndk tmk thyA nudI dut mazG nrdD dcd;G7401 EG11031 EG11887 EG10661 EG10660 EG12381 EG20257 EG10032 EG10650 EG12302 EG11002 G7164 EG10251 EG10572 EG11417 EG11418
VALSYN-PWY;L-valine biosynthesis;ilvH ilvI ilvM ilvG ilvN ilvB ilvC ilvE ilvD;EG10499 EG10500 EG10501 G8221 EG10502 EG10494 EG10495 EG10497 EG10496
GALACT-GLUCUROCAT-PWY;superpathway of hexuronide and hexuronate degradation;uidA uxaC eda kdgK uxuA uxuB uxaB uxaA;EG11055 G81 EG10256 EG12253 EG11066 EG20248 EG11065 EG12734
PWY-5901;2,3-dihydroxybenzoate biosynthesis;entA entB entC;EG10259 EG10260 EG10261
UBISYN-PWY;superpathway of ubiquinol-8 biosynthesis (prokaryotic);idi ispA ispB ubiA ubiD ubiI ubiG ubiH ubiE ubiF ubiC;G7508 EG10508 EG10017 EG11370 EG11396 EG11333 EG11143 EG11324 EG11473 G6365 EG11369
PWY-5350;thiosulfate disproportionation IV (rhodanese);ygaP sseA pspE glpE;G7398 EG11600 EG10780 EG10395
PWY-6151;<i>S</i>-adenosyl-L-methionine cycle I;metE metH metK luxS mtn;EG10584 EG10587 EG10589 EG12712 EG11090
THREONINE-DEG2-PWY;L-threonine degradation II;kbl yiaY tdh;EG10512 EG12293 EG10993
TRPSYN-PWY;L-tryptophan biosynthesis;trpB trpA trpD trpE trpC;EG11025 EG11024 EG11027 EG11028 EG11026
PWY-5436;L-threonine degradation IV;mhpF adhE eutE ltaE;M014 EG10031 G7285 G6455
PWY-5667;CDP-diacylglycerol biosynthesis I;gpsA plsB plsC cdsA;EG20091 EG10740 EG11377 EG10139
PWY0-1319;CDP-diacylglycerol biosynthesis II;acpP plsB cdsA plsC gpsA;EG50003 EG10740 EG10139 EG11377 EG20091
UDPNAGSYN-PWY;UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I;pgi glmM glmS glmU;EG10702 EG11553 EG10382 EG11198
PWY0-1415;superpathway of heme <i>b</i> biosynthesis from uroporphyrinogen-III;hemG hemN hemE yfeX efeB hemH hemF;EG11485 EG11836 EG11543 G7266 EG11735 EG10431 EG12189
HEME-BIOSYNTHESIS-II;heme <i>b</i> biosynthesis I (aerobic);hemF hemH hemG hemE;EG12189 EG10431 EG11485 EG11543
PWY-7971;adenosylcobinamide-GDP salvage from cobinamide I;btuR cobU;EG10130 EG13238
HEMESYN2-PWY;heme <i>b</i> biosynthesis II (anaerobic);hemG hemN hemE hemH;EG11485 EG11836 EG11543 EG10431
COBALSYN-PWY;superpathway of adenosylcobalamin salvage from cobinamide I;btuR cobU cobT cobC cobS;EG10130 EG13238 EG12151 G6349 EG12150
PHOSLIPSYN-PWY;superpathway of phospholipid biosynthesis I (bacteria);acpP clsC pgpC pgpB pgpA pgsA plsB cdsA plsC gpsA psd pssA clsB clsA;EG50003 G6551 EG11371 EG10705 EG10704 EG10706 EG10740 EG10139 EG11377 EG20091 EG10775 EG10781 G6406 EG11608
PWY-6268;adenosylcobalamin salvage from cobalamin;btuR;EG10130
PWY-46;putrescine biosynthesis III;speC;EG10961
PWY-5437;L-threonine degradation I;tdcB ackA tdcD pta pflB tdcE;EG10990 EG10027 EG11172 EG20173 EG10701 G7627
PWY-40;putrescine biosynthesis I;speB speA;EG10960 EG10959
PWY0-1295;pyrimidine ribonucleosides degradation;deoB ppnP udp cdd;EG10220 EG12159 EG11045 EG10137
THRDLCTCAT-PWY;L-threonine degradation III (to methylglyoxal);tynA yiaY tdh;EG13139 EG12293 EG10993
PWY-6892;thiazole biosynthesis I (facultative anaerobic bacteria);thiI thiS fdx sufS iscS thiH thiF dxs thiG;G6238 G1 EG11328 G6906 G7325 EG11590 EG11587 G6237 EG11589
PWY-7181;pyrimidine deoxyribonucleosides degradation;ppnP deoA cdd;EG12159 EG10219 EG10137
PWY-6894;thiamine diphosphate biosynthesis I (E. coli);thiE thiL;EG11586 G6234
PYRIDOXSYN-PWY;pyridoxal 5'-phosphate biosynthesis I;pdxA serC pdxB pdxJ dxs epd pdxH;EG10691 EG10946 G0-9461 EG10693 G6237 EG10368 EG11487
PWY-5155;&beta;-alanine biosynthesis III;panD;EG11747
HOMOSERSYN-PWY;L-homoserine biosynthesis;metL thrA asd lysC;EG10590 EG10998 EG10088 EG10550
PLPSAL-PWY;pyridoxal 5'-phosphate salvage I;pdxY pdxK pdxH;G6879 G7259 EG11487
COLANSYN-PWY;colanic acid building blocks biosynthesis;ugd galE pgm galU cpsB cpsG manA pgi fcl gmd;G7091 EG10362 EG12144 EG11319 EG10161 EG10162 EG10566 EG10702 EG11788 EG11787
GLYSYN-PWY;glycine biosynthesis I;glyA;EG10408
PWY-6153;autoinducer AI-2 biosynthesis I;luxS mtn;EG12712 EG11090
SO4ASSIM-PWY;assimilatory sulfate reduction I;trxA trxC cysC cysN cysD cysI cysJ cysH;EG11031 EG11887 EG10185 EG10194 EG10186 EG10190 EG10191 EG10189
